city,area,rooms,bathroom,parking spaces
Belo Horizonte,362,4,5,0
São Paulo,90,3,2,0
Rio de Janeiro,42,1,1,0
Rio de Janeiro,56,2,1,1
São Paulo,16,1,1,0
São Paulo,90,2,2,2
Belo Horizonte,67,1,1,0
São Paulo,488,4,3,3
Rio de Janeiro,30,1,1,0
São Paulo,290,6,3,4
São Paulo,266,3,3,4
Campinas,47,2,1,1
Rio de Janeiro,590,6,6,2
São Paulo,900,4,9,8
São Paulo,86,2,1,1
São Paulo,290,3,3,2
Porto Alegre,84,3,2,2
São Paulo,160,3,1,2
São Paulo,37,1,1,0
Campinas,73,3,1,1
São Paulo,350,4,5,5
Rio de Janeiro,57,1,1,0
Campinas,48,1,1,0
Rio de Janeiro,30,1,1,0
Campinas,198,6,3,4
Porto Alegre,47,1,1,0
Porto Alegre,60,2,1,1
São Paulo,230,3,3,0
Belo Horizonte,90,2,1,1
Rio de Janeiro,129,3,2,1
São Paulo,240,4,4,4
Porto Alegre,55,1,1,0
Porto Alegre,52,1,1,0
São Paulo,250,3,4,3
São Paulo,200,3,2,2
Belo Horizonte,312,4,3,3
São Paulo,230,5,5,3
São Paulo,72,2,2,2
São Paulo,55,2,1,0
Rio de Janeiro,72,2,2,1
São Paulo,50,2,1,0
São Paulo,17,1,1,0
Belo Horizonte,160,3,3,2
São Paulo,214,4,4,3
Rio de Janeiro,65,1,1,0
São Paulo,136,3,2,1
Porto Alegre,70,2,2,1
Porto Alegre,38,1,1,0
São Paulo,450,8,5,5
Rio de Janeiro,67,2,1,1
São Paulo,20,1,1,0
São Paulo,41,1,1,0
São Paulo,50,2,1,1
São Paulo,205,3,3,3
São Paulo,100,3,2,1
São Paulo,190,3,4,4
Belo Horizonte,45,2,1,0
Campinas,57,1,1,1
Porto Alegre,88,1,2,2
São Paulo,70,1,1,1
São Paulo,76,2,2,0
Rio de Janeiro,36,1,1,0
Porto Alegre,61,2,2,2
São Paulo,280,4,3,6
São Paulo,480,5,6,3
Campinas,45,1,1,1
São Paulo,42,1,1,0
Porto Alegre,62,2,1,0
São Paulo,38,2,1,0
São Paulo,44,1,1,1
São Paulo,75,3,2,2
Rio de Janeiro,66,2,1,1
São Paulo,125,3,3,2
Campinas,62,2,1,2
São Paulo,77,2,1,1
São Paulo,136,2,4,2
São Paulo,200,4,2,1
São Paulo,35,1,1,0
São Paulo,250,4,3,2
São Paulo,90,2,2,2
Campinas,72,2,2,1
São Paulo,168,3,3,5
Porto Alegre,360,3,4,3
Campinas,38,1,1,1
São Paulo,23,1,1,1
Porto Alegre,440,3,3,3
São Paulo,120,3,3,2
Rio de Janeiro,90,2,2,0
Porto Alegre,125,4,2,0
São Paulo,200,3,4,3
São Paulo,190,3,3,2
Belo Horizonte,123,3,2,1
Campinas,53,2,1,1
Rio de Janeiro,70,2,1,1
São Paulo,90,2,2,2
São Paulo,95,3,2,0
Campinas,74,3,1,1
São Paulo,64,1,1,1
São Paulo,155,4,5,3
Rio de Janeiro,125,3,1,2
São Paulo,40,1,1,1
Porto Alegre,350,3,2,4
Belo Horizonte,417,3,5,8
Porto Alegre,350,4,4,4
São Paulo,40,1,1,1
São Paulo,30,1,1,1
São Paulo,142,3,4,2
Porto Alegre,110,3,3,2
São Paulo,100,4,4,1
São Paulo,377,5,4,3
São Paulo,230,2,3,3
São Paulo,35,1,1,0
São Paulo,32,1,1,1
São Paulo,74,2,1,1
São Paulo,147,2,3,4
São Paulo,35,1,1,0
Rio de Janeiro,26,1,1,0
São Paulo,70,2,2,1
São Paulo,150,3,3,3
São Paulo,200,3,3,2
Campinas,60,1,1,1
São Paulo,250,4,5,3
São Paulo,44,1,2,0
São Paulo,250,7,5,2
São Paulo,157,3,2,0
São Paulo,97,2,2,0
Belo Horizonte,548,4,7,6
São Paulo,28,1,1,0
São Paulo,250,3,4,0
Belo Horizonte,193,4,2,2
Belo Horizonte,428,5,5,4
São Paulo,50,2,1,0
São Paulo,135,2,3,2
Rio de Janeiro,103,2,2,1
Campinas,103,3,2,2
São Paulo,80,3,2,1
São Paulo,160,3,3,2
São Paulo,238,4,3,4
Belo Horizonte,500,7,4,4
São Paulo,580,5,5,4
São Paulo,80,1,1,0
São Paulo,210,4,5,3
Porto Alegre,106,3,3,1
Rio de Janeiro,30,1,1,0
São Paulo,156,3,2,1
São Paulo,60,1,1,1
São Paulo,200,3,4,0
São Paulo,70,2,2,0
São Paulo,177,4,5,4
São Paulo,103,3,3,2
São Paulo,440,4,4,4
São Paulo,65,2,1,1
Belo Horizonte,260,5,3,3
São Paulo,200,4,4,6
São Paulo,96,3,2,1
São Paulo,68,2,2,1
Belo Horizonte,300,5,5,5
São Paulo,34,1,1,0
Campinas,398,5,6,0
Belo Horizonte,100,1,1,0
Belo Horizonte,176,4,5,3
Belo Horizonte,90,2,2,2
Belo Horizonte,680,7,6,8
Belo Horizonte,220,4,3,0
São Paulo,110,2,2,2
São Paulo,180,3,2,1
São Paulo,36,1,1,1
Belo Horizonte,450,4,4,4
Rio de Janeiro,103,3,2,0
Porto Alegre,101,2,2,2
São Paulo,196,4,4,0
Rio de Janeiro,28,1,1,0
São Paulo,260,3,4,4
São Paulo,330,4,2,5
Rio de Janeiro,70,3,2,1
Rio de Janeiro,33,1,1,0
São Paulo,160,3,3,2
São Paulo,60,2,1,1
São Paulo,36,1,1,1
São Paulo,20,1,1,0
Porto Alegre,70,2,1,0
São Paulo,180,3,4,4
São Paulo,105,3,3,1
São Paulo,275,4,5,4
Belo Horizonte,450,2,2,5
Campinas,360,4,6,4
São Paulo,140,2,2,1
São Paulo,900,3,5,8
Porto Alegre,152,3,5,3
São Paulo,280,3,4,3
São Paulo,230,4,4,3
Campinas,92,3,2,3
Belo Horizonte,58,1,1,1
Campinas,41,2,1,1
São Paulo,206,4,4,3
Campinas,214,3,3,2
São Paulo,110,2,2,1
Belo Horizonte,100,2,1,0
Belo Horizonte,80,2,2,1
Belo Horizonte,311,3,4,3
São Paulo,200,2,3,2
Campinas,96,3,2,2
Rio de Janeiro,140,4,2,1
São Paulo,138,3,3,2
São Paulo,140,3,3,1
Rio de Janeiro,60,2,2,1
São Paulo,40,1,1,0
São Paulo,178,3,4,4
São Paulo,140,3,3,2
São Paulo,72,2,1,0
São Paulo,117,2,1,1
São Paulo,35,1,1,1
Porto Alegre,42,1,1,0
Belo Horizonte,29,1,1,0
São Paulo,130,2,1,0
Rio de Janeiro,100,3,2,1
Rio de Janeiro,39,1,1,0
São Paulo,61,1,1,0
Campinas,750,4,5,5
Belo Horizonte,142,4,3,2
Campinas,650,4,4,8
São Paulo,69,2,2,0
São Paulo,100,2,2,4
Belo Horizonte,300,4,2,2
São Paulo,190,3,4,3
Rio de Janeiro,115,2,2,0
Campinas,119,3,1,1
São Paulo,100,2,3,1
São Paulo,55,2,1,1
São Paulo,44,1,1,1
São Paulo,316,4,6,4
São Paulo,83,2,3,2
Belo Horizonte,1000,5,7,8
São Paulo,150,3,2,1
São Paulo,53,2,1,1
São Paulo,49,2,1,1
Campinas,185,3,3,2
Rio de Janeiro,40,1,1,0
São Paulo,65,2,1,0
São Paulo,67,3,2,1
São Paulo,46,1,1,1
Campinas,205,3,2,1
Porto Alegre,550,5,5,3
Campinas,50,1,1,1
São Paulo,266,4,5,4
Rio de Janeiro,280,3,2,2
São Paulo,1600,6,6,6
São Paulo,70,1,1,0
São Paulo,84,3,2,2
Belo Horizonte,40,1,1,0
Rio de Janeiro,117,3,2,1
São Paulo,68,2,2,2
Belo Horizonte,140,2,2,2
São Paulo,450,4,2,3
Porto Alegre,44,1,2,0
São Paulo,40,1,1,1
São Paulo,70,1,2,1
São Paulo,50,1,2,0
Belo Horizonte,405,2,3,0
São Paulo,75,2,2,1
Belo Horizonte,80,3,3,1
São Paulo,450,4,5,6
São Paulo,225,4,5,4
São Paulo,250,3,2,3
São Paulo,60,2,1,1
São Paulo,31,1,1,1
São Paulo,100,3,1,3
Belo Horizonte,20,1,1,0
São Paulo,200,3,4,8
Campinas,50,1,1,1
São Paulo,61,3,2,2
São Paulo,200,3,4,2
Belo Horizonte,100,2,2,0
São Paulo,365,4,5,6
São Paulo,38,1,1,0
Rio de Janeiro,49,2,1,0
São Paulo,207,3,5,4
Campinas,82,3,2,1
São Paulo,400,5,4,3
Rio de Janeiro,170,4,2,2
Porto Alegre,105,3,2,2
São Paulo,383,4,4,5
São Paulo,168,3,3,3
São Paulo,53,2,2,1
Porto Alegre,320,4,3,2
São Paulo,300,3,4,3
Campinas,100,3,2,3
São Paulo,40,1,1,0
São Paulo,180,3,1,0
São Paulo,257,4,5,4
São Paulo,178,2,4,2
São Paulo,179,3,3,0
Porto Alegre,64,2,1,0
Porto Alegre,60,2,1,0
São Paulo,55,1,1,1
São Paulo,50,1,1,0
São Paulo,82,3,2,2
Rio de Janeiro,60,1,1,1
Porto Alegre,40,1,1,1
Campinas,230,4,4,8
São Paulo,73,2,1,1
São Paulo,79,2,2,1
São Paulo,230,3,4,2
Rio de Janeiro,214,3,3,3
São Paulo,120,2,1,0
São Paulo,200,4,2,1
Porto Alegre,85,3,2,2
São Paulo,45,1,1,1
Porto Alegre,30,1,1,0
São Paulo,57,2,2,1
São Paulo,500,4,7,3
São Paulo,322,4,5,5
São Paulo,20,1,1,0
Porto Alegre,100,2,2,1
São Paulo,620,4,6,4
Porto Alegre,240,4,3,5
São Paulo,95,3,2,2
São Paulo,35,1,1,1
Belo Horizonte,325,5,4,7
São Paulo,58,3,1,1
São Paulo,200,4,4,3
São Paulo,92,3,2,2
Belo Horizonte,65,2,1,1
Campinas,57,2,1,0
São Paulo,50,2,1,1
São Paulo,165,4,5,2
Rio de Janeiro,70,2,1,1
São Paulo,230,4,3,1
Rio de Janeiro,34,1,1,0
Rio de Janeiro,25,1,1,0
São Paulo,50,2,1,1
Porto Alegre,120,3,2,2
Porto Alegre,60,2,1,1
São Paulo,67,2,2,1
São Paulo,22,1,1,0
São Paulo,197,3,1,2
Porto Alegre,105,3,3,1
São Paulo,80,2,2,1
Belo Horizonte,140,4,2,2
Rio de Janeiro,70,2,2,1
Porto Alegre,383,5,5,4
São Paulo,172,3,4,3
Porto Alegre,57,2,2,1
São Paulo,32,1,1,1
Belo Horizonte,341,10,6,7
Belo Horizonte,600,5,6,8
São Paulo,43,2,1,1
Campinas,98,3,2,1
São Paulo,36,2,1,0
Rio de Janeiro,42,1,1,0
Campinas,120,3,3,3
Rio de Janeiro,78,2,2,1
São Paulo,113,3,4,2
São Paulo,47,2,1,1
São Paulo,60,2,2,1
Porto Alegre,77,2,1,0
Porto Alegre,75,2,2,1
São Paulo,60,3,1,1
São Paulo,240,3,4,3
São Paulo,48,1,1,1
Belo Horizonte,70,3,1,1
Belo Horizonte,345,3,3,0
São Paulo,250,4,2,3
São Paulo,158,4,4,3
Porto Alegre,55,2,1,1
Rio de Janeiro,80,2,1,1
Porto Alegre,42,1,1,1
São Paulo,80,3,3,2
São Paulo,50,1,1,0
Rio de Janeiro,380,4,3,2
São Paulo,85,2,2,1
Belo Horizonte,120,4,3,2
São Paulo,214,4,5,4
São Paulo,277,4,4,6
Campinas,50,2,1,1
Belo Horizonte,90,3,2,2
São Paulo,287,4,5,2
São Paulo,11,1,1,0
Porto Alegre,62,2,1,1
São Paulo,45,1,1,1
Porto Alegre,80,2,1,1
São Paulo,115,3,3,2
Porto Alegre,110,2,2,1
São Paulo,162,3,3,2
Rio de Janeiro,85,3,2,1
Belo Horizonte,105,4,3,3
São Paulo,180,2,2,5
Rio de Janeiro,80,2,1,0
São Paulo,56,2,1,1
São Paulo,70,2,1,1
Rio de Janeiro,70,1,2,1
Belo Horizonte,75,3,1,1
São Paulo,420,4,6,4
São Paulo,279,3,3,8
São Paulo,160,4,4,2
São Paulo,41,1,1,0
São Paulo,97,2,2,2
Porto Alegre,40,1,1,1
São Paulo,110,3,2,1
Belo Horizonte,298,4,3,2
Belo Horizonte,87,4,2,2
São Paulo,150,5,5,4
São Paulo,113,3,2,2
Belo Horizonte,293,6,2,3
São Paulo,90,3,2,2
Belo Horizonte,305,4,3,3
Campinas,50,2,1,1
São Paulo,150,3,3,2
Porto Alegre,367,3,4,4
Rio de Janeiro,50,2,1,0
São Paulo,230,3,4,3
São Paulo,125,3,3,1
Rio de Janeiro,140,3,2,1
São Paulo,63,3,2,0
São Paulo,110,2,1,1
São Paulo,54,2,1,1
Porto Alegre,67,2,1,0
São Paulo,296,3,4,4
Belo Horizonte,70,2,1,1
São Paulo,50,2,1,0
São Paulo,160,3,2,4
São Paulo,60,2,2,1
São Paulo,220,3,4,3
São Paulo,340,4,3,8
São Paulo,52,2,1,0
Belo Horizonte,50,2,1,1
Belo Horizonte,60,2,1,0
São Paulo,125,3,3,3
São Paulo,36,2,1,0
Belo Horizonte,100,3,2,1
São Paulo,550,4,7,3
São Paulo,60,3,1,2
Campinas,48,1,1,0
São Paulo,164,3,3,1
Belo Horizonte,90,3,2,1
Porto Alegre,78,3,2,1
São Paulo,44,2,1,0
Belo Horizonte,180,3,3,2
Campinas,82,3,2,1
São Paulo,49,1,1,1
São Paulo,400,5,4,5
São Paulo,74,2,3,2
São Paulo,110,2,1,1
São Paulo,58,1,1,1
Rio de Janeiro,23,1,1,0
Rio de Janeiro,95,3,2,1
São Paulo,196,4,3,3
São Paulo,70,2,1,0
Porto Alegre,148,2,1,2
São Paulo,70,2,1,0
São Paulo,30,1,1,1
São Paulo,300,3,2,4
São Paulo,53,1,1,1
São Paulo,96,3,2,2
São Paulo,190,3,4,2
São Paulo,250,3,5,8
Belo Horizonte,130,4,1,3
São Paulo,250,3,3,6
Campinas,50,1,1,0
Belo Horizonte,840,5,6,5
Rio de Janeiro,95,3,3,0
São Paulo,33,1,1,0
Rio de Janeiro,60,2,1,0
São Paulo,51,1,1,0
Rio de Janeiro,200,4,3,2
São Paulo,212,4,5,6
Belo Horizonte,66,3,1,0
São Paulo,150,3,5,2
Rio de Janeiro,48,2,1,1
São Paulo,90,2,2,1
Porto Alegre,136,4,3,2
São Paulo,40,1,1,1
São Paulo,100,1,2,2
São Paulo,32,1,1,0
São Paulo,30,1,1,1
São Paulo,170,2,2,5
Campinas,184,4,3,4
São Paulo,368,4,5,4
São Paulo,230,3,4,4
São Paulo,214,4,6,4
Belo Horizonte,37,1,1,1
São Paulo,450,5,5,4
São Paulo,87,3,2,0
São Paulo,70,2,1,1
São Paulo,54,2,1,1
Belo Horizonte,155,4,3,3
São Paulo,35,1,1,0
São Paulo,160,4,4,5
Belo Horizonte,95,3,2,2
São Paulo,113,2,1,1
Rio de Janeiro,70,3,2,1
São Paulo,131,3,2,2
Belo Horizonte,130,3,3,1
Porto Alegre,72,2,1,0
Belo Horizonte,130,2,1,1
Rio de Janeiro,80,2,3,1
São Paulo,50,3,2,2
São Paulo,54,2,1,1
São Paulo,130,3,3,3
Porto Alegre,230,4,1,1
São Paulo,50,2,1,1
Belo Horizonte,100,3,2,3
Belo Horizonte,40,1,1,1
Campinas,75,3,1,1
São Paulo,30,1,1,1
Porto Alegre,68,2,2,1
São Paulo,117,3,3,2
Porto Alegre,600,5,4,5
São Paulo,126,3,2,2
Porto Alegre,290,4,4,3
Porto Alegre,120,3,1,0
Rio de Janeiro,35,1,1,0
Belo Horizonte,40,1,1,1
São Paulo,56,2,2,1
Campinas,53,2,1,1
São Paulo,270,4,4,4
Porto Alegre,150,4,2,2
São Paulo,40,1,1,0
São Paulo,31,1,1,0
São Paulo,50,2,2,1
São Paulo,347,5,5,4
São Paulo,70,3,1,1
Rio de Janeiro,75,2,1,0
Porto Alegre,90,3,2,0
